symptom,condition,description,recommended_medicine,dosage,precautions,when_to_seek_emergency
chest pain,Angina,Chest pain or discomfort due to reduced blood flow to heart muscle,"Nitroglycerin, Aspirin, Metoprolol","Nitroglycerin 0.4mg sublingual as needed, Aspirin 81mg daily, Metoprolol 25-50mg twice daily","Carry nitroglycerin always, sit down when taking it, may cause headache and dizziness","If chest pain lasts more than 5 minutes or worsens, call emergency services immediately"
severe chest pain,Heart Attack,Intense chest pain that may radiate to arm jaw or back indicating possible myocardial infarction,"Emergency Aspirin, immediate hospitalization required","Aspirin 325mg chewable immediately while waiting for ambulance","Call emergency services first, chew aspirin do not swallow whole, stay calm and sit down","This is a medical emergency - call 911 immediately, do not drive yourself"
heart palpitations,Arrhythmia,Feeling of rapid fluttering or pounding heartbeat irregular heart rhythm,"Metoprolol, Diltiazem, Propranolol","Metoprolol 25-100mg twice daily, Diltiazem 120-360mg daily extended release","Avoid caffeine and alcohol, monitor heart rate, may cause fatigue","If accompanied by chest pain, fainting, or severe shortness of breath, seek immediate care"
irregular heartbeat,Atrial Fibrillation,Heart rhythm disorder causing irregular and often rapid heart rate,"Apixaban, Metoprolol, Diltiazem","Apixaban 5mg twice daily, Metoprolol 50-100mg twice daily","Blood thinner requires monitoring for bleeding, avoid alcohol excess","Seek emergency care if experiencing stroke symptoms or uncontrolled bleeding"
high blood pressure,Hypertension,Consistently elevated blood pressure putting strain on heart and blood vessels,"Lisinopril, Amlodipine, Losartan, Hydrochlorothiazide","Lisinopril 10-40mg daily, Amlodipine 5-10mg daily","Monitor blood pressure regularly, reduce salt intake, may cause dizziness","If BP exceeds 180/120 with symptoms like headache or vision changes, seek emergency care"
shortness of breath,Heart Failure,Difficulty breathing due to heart's inability to pump blood effectively,"Furosemide, Lisinopril, Carvedilol, Spironolactone","Furosemide 20-80mg daily, Lisinopril 5-40mg daily, Carvedilol 3.125-25mg twice daily","Monitor weight daily, restrict fluid and sodium, take diuretics in morning","If sudden severe shortness of breath or coughing pink frothy sputum, call 911"
rapid heartbeat,Tachycardia,Heart rate over 100 beats per minute at rest,"Metoprolol, Atenolol, Diltiazem","Metoprolol 25-100mg twice daily, Diltiazem 120-240mg daily","Check pulse regularly, avoid stimulants, may cause fatigue or dizziness","If heart rate exceeds 150 or accompanied by chest pain or fainting, seek emergency care"
slow heartbeat,Bradycardia,Heart rate under 60 beats per minute causing symptoms,"Atropine for emergency, may require pacemaker","Atropine 0.5mg IV in emergency setting, pacemaker for chronic cases","Usually requires medical device, stop medications causing slow heart rate","If experiencing fainting, severe fatigue, or confusion, seek immediate medical attention"
swollen ankles,Fluid Retention,Edema in lower extremities often related to heart failure or poor circulation,"Furosemide, Bumetanide, Spironolactone","Furosemide 20-40mg daily in morning, Spironolactone 25-50mg daily","Elevate legs, reduce salt intake, monitor weight, may increase urination","If sudden severe swelling with shortness of breath, seek emergency care"
chest tightness,Coronary Artery Disease,Narrowing of coronary arteries reducing blood flow to heart,"Aspirin, Atorvastatin, Metoprolol, Nitroglycerin","Aspirin 81mg daily, Atorvastatin 20-80mg at bedtime, Metoprolol 50-100mg twice daily","Take statin at night, carry nitroglycerin, avoid heavy meals before activity","Chest pain lasting over 5 minutes or not relieved by rest requires emergency care"
dizziness,Low Blood Pressure,Lightheadedness due to inadequate blood pressure or heart rhythm issues,"Midodrine, Fludrocortisone, increase fluid and salt intake","Midodrine 2.5-10mg three times daily, Fludrocortisone 0.1-0.2mg daily","Rise slowly from sitting or lying, stay hydrated, wear compression stockings","If fainting, severe dizziness with chest pain, or confusion, seek immediate help"
fatigue,Heart Weakness,Extreme tiredness due to heart not pumping efficiently,"Carvedilol, Lisinopril, Iron supplements if anemic","Carvedilol 3.125-25mg twice daily, Lisinopril 5-20mg daily","Pace activities, rest when needed, monitor for worsening symptoms","Sudden severe fatigue with other cardiac symptoms requires medical evaluation"
leg pain walking,Peripheral Artery Disease,Pain in legs during walking due to narrowed arteries,"Cilostazol, Aspirin, Atorvastatin","Cilostazol 100mg twice daily, Aspirin 81-325mg daily, Atorvastatin 40-80mg daily","Take 30 minutes before or 2 hours after meals, stop smoking, exercise regularly","If leg pain at rest or non-healing wounds, consult vascular specialist urgently"
racing heart,Supraventricular Tachycardia,Sudden episodes of very rapid heartbeat originating above ventricles,"Adenosine for acute, Metoprolol or Diltiazem for prevention","Adenosine 6mg rapid IV push in emergency, Metoprolol 50-100mg twice daily for prevention","Learn vagal maneuvers, avoid caffeine and alcohol, carry emergency medication","If episode lasts over 30 minutes or causes chest pain or fainting, call 911"
heart flutter,Atrial Flutter,Regular but rapid heart rhythm typically around 150 beats per minute,"Diltiazem, Metoprolol, Anticoagulation with Apixaban","Diltiazem 120-360mg daily, Metoprolol 50-200mg daily, Apixaban 5mg twice daily","Rate control important, anticoagulation prevents stroke, monitor for bleeding","Sudden onset with hemodynamic instability requires emergency cardioversion"
skipped heartbeats,Premature Ventricular Contractions,Extra abnormal heartbeats originating in ventricles causing skipped beat sensation,"Metoprolol, Propranolol, usually benign","Metoprolol 25-50mg twice daily if symptomatic, often no treatment needed","Reduce caffeine and stress, usually harmless, monitor frequency","Frequent PVCs with other symptoms or very frequent burden needs cardiology evaluation"
